[Fri Jan 03 17:19:59.505265 2020] [mpm_event:notice] [pid 1163:tid 140252221654912] AH00489: Apache/2.4.10 (Debian) configured -- resuming normal operations
[Fri Jan 03 17:19:59.505620 2020] [core:notice] [pid 1163:tid 140252221654912] AH00094: Command line: '/usr/sbin/apache2'
[Sat Jan 04 11:47:34.576769 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] [client 172.17.0.1:35568] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sat Jan 04 11:47:34.577034 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] (22)Invalid argument: [client 172.17.0.1:35568] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sat Jan 04 17:17:01.203015 2020] [proxy_fcgi:error] [pid 1166:tid 140252006045440] [client 172.17.0.1:47336] AH01068: Got bogus version 116
[Sat Jan 04 17:17:01.203281 2020] [proxy_fcgi:error] [pid 1166:tid 140252006045440] (22)Invalid argument: [client 172.17.0.1:47336] AH01075: Error dispatching request to : (passing brigade to output filters)
[Sun Jan 05 01:20:02.615425 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] [client 172.17.0.1:48120] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 01:20:02.615700 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] (22)Invalid argument: [client 172.17.0.1:48120] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 01:27:51.978575 2020] [proxy_fcgi:error] [pid 1167:tid 140251989260032] [client 172.17.0.1:50050] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 01:27:51.980032 2020] [proxy_fcgi:error] [pid 1167:tid 140251989260032] (22)Invalid argument: [client 172.17.0.1:50050] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 16:10:18.392977 2020] [proxy_fcgi:error] [pid 1166:tid 140251896940288] [client 172.17.0.1:56670] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 16:10:18.393447 2020] [proxy_fcgi:error] [pid 1166:tid 140251896940288] (22)Invalid argument: [client 172.17.0.1:56670] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 16:26:47.726181 2020] [proxy_fcgi:error] [pid 1166:tid 140251955689216] [client 172.17.0.1:57530] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 16:26:47.726403 2020] [proxy_fcgi:error] [pid 1166:tid 140251955689216] (22)Invalid argument: [client 172.17.0.1:57530] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 16:27:28.223743 2020] [proxy_fcgi:error] [pid 1166:tid 140251955689216] [client 172.17.0.1:58002] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sun Jan 05 16:27:28.223943 2020] [proxy_fcgi:error] [pid 1166:tid 140251955689216] (22)Invalid argument: [client 172.17.0.1:58002] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 16:36:11.966731 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] [client 172.17.0.1:34750] AH01068: Got bogus version 45, referer: http://customizer.local/wp-admin/post-new.php?post_type=page
[Mon Jan 06 16:36:11.971948 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] (22)Invalid argument: [client 172.17.0.1:34750] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/post-new.php?post_type=page
[Mon Jan 06 17:03:10.035417 2020] [proxy_fcgi:error] [pid 1166:tid 140251972474624] [client 172.17.0.1:35690] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:03:10.035663 2020] [proxy_fcgi:error] [pid 1166:tid 140251972474624] (22)Invalid argument: [client 172.17.0.1:35690] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:24:11.059237 2020] [proxy_fcgi:error] [pid 1166:tid 140251980867328] [client 172.17.0.1:37340] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:24:11.059620 2020] [proxy_fcgi:error] [pid 1166:tid 140251980867328] (22)Invalid argument: [client 172.17.0.1:37340] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:24:19.481964 2020] [proxy_fcgi:error] [pid 1167:tid 140251896940288] [client 172.17.0.1:37396] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:24:19.482161 2020] [proxy_fcgi:error] [pid 1167:tid 140251896940288] (22)Invalid argument: [client 172.17.0.1:37396] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:27:47.086706 2020] [proxy_fcgi:error] [pid 1167:tid 140251930511104] [client 172.17.0.1:38572] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:27:47.086911 2020] [proxy_fcgi:error] [pid 1167:tid 140251930511104] (22)Invalid argument: [client 172.17.0.1:38572] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:27:59.725092 2020] [proxy_fcgi:error] [pid 1167:tid 140251896940288] [client 172.17.0.1:38672] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:27:59.725703 2020] [proxy_fcgi:error] [pid 1167:tid 140251896940288] (22)Invalid argument: [client 172.17.0.1:38672] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:30:44.703998 2020] [proxy_fcgi:error] [pid 1167:tid 140252014438144] [client 172.17.0.1:39072] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:30:44.704229 2020] [proxy_fcgi:error] [pid 1167:tid 140252014438144] (22)Invalid argument: [client 172.17.0.1:39072] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:37:18.773531 2020] [proxy_fcgi:error] [pid 1167:tid 140251913725696] [client 172.17.0.1:41520] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:37:18.773819 2020] [proxy_fcgi:error] [pid 1167:tid 140251913725696] (22)Invalid argument: [client 172.17.0.1:41520] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:37:29.017175 2020] [proxy_fcgi:error] [pid 1166:tid 140252131452672] [client 172.17.0.1:41592] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:37:29.017404 2020] [proxy_fcgi:error] [pid 1166:tid 140252131452672] (22)Invalid argument: [client 172.17.0.1:41592] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:38:21.534233 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] [client 172.17.0.1:42488] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:38:21.534516 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] (22)Invalid argument: [client 172.17.0.1:42488] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Mon Jan 06 17:38:43.440959 2020] [proxy_fcgi:error] [pid 1167:tid 140251896940288] [client 172.17.0.1:42584] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Mon Jan 06 17:38:43.441178 2020] [proxy_fcgi:error] [pid 1167:tid 140251896940288] (22)Invalid argument: [client 172.17.0.1:42584] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:17:16.444824 2020] [proxy_fcgi:error] [pid 1166:tid 140251964081920] [client 172.17.0.1:45522] AH01068: Got bogus version 32, referer: http://customizer.local/wp-admin/post.php?post=52&action=edit
[Tue Jan 07 00:17:16.448984 2020] [proxy_fcgi:error] [pid 1166:tid 140251964081920] (22)Invalid argument: [client 172.17.0.1:45522] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/post.php?post=52&action=edit
[Tue Jan 07 00:17:16.880551 2020] [proxy_fcgi:error] [pid 1167:tid 140251871762176] [client 172.17.0.1:45506] AH01068: Got bogus version 45, referer: http://customizer.local/wp-admin/post.php?post=52&action=edit
[Tue Jan 07 00:17:16.880746 2020] [proxy_fcgi:error] [pid 1167:tid 140251871762176] (22)Invalid argument: [client 172.17.0.1:45506] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/post.php?post=52&action=edit
[Tue Jan 07 00:17:57.244991 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] [client 172.17.0.1:45854] AH01068: Got bogus version 45, referer: http://customizer.local/wp-admin/post.php?post=52&action=edit
[Tue Jan 07 00:17:57.245274 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] (22)Invalid argument: [client 172.17.0.1:45854] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/post.php?post=52&action=edit
[Tue Jan 07 00:18:19.644488 2020] [proxy_fcgi:error] [pid 1167:tid 140252014438144] [client 172.17.0.1:46190] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Tue Jan 07 00:18:19.644779 2020] [proxy_fcgi:error] [pid 1167:tid 140252014438144] (22)Invalid argument: [client 172.17.0.1:46190] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Tue Jan 07 00:18:35.643914 2020] [proxy_fcgi:error] [pid 1167:tid 140252022830848] [client 172.17.0.1:46394] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:18:35.644119 2020] [proxy_fcgi:error] [pid 1167:tid 140252022830848] (22)Invalid argument: [client 172.17.0.1:46394] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
